word_index,frequency
0,346
1,351
2,315
3,304
4,310
5,337
6,369
7,289
8,341
9,446
10,410
11,330
12,259
13,350
14,344
15,365
16,367
17,297
18,295
19,376
20,310
21,259
22,415
23,364
24,306
25,380
26,322
27,305
28,367
29,355
30,426
31,377
32,317
33,306
34,363
35,405
36,412
37,341
38,315
39,377
40,299
41,309
42,387
43,327
44,419
45,306
46,268
47,343
48,518
49,413
50,326
51,345
52,351
53,435
54,331
55,253
56,306
57,420
58,336
59,402
60,357
61,298
62,332
63,368
64,335
65,358
66,307
67,318
68,314
69,278
70,374
71,384
72,358
73,333
74,330
75,346
76,375
77,355
78,216
79,340
80,416
81,310
82,320
83,403
84,319
85,350
86,346
87,332
88,411
89,283
90,386
91,432
92,314
93,386
94,393
95,414
96,436
97,340
98,371
99,318
100,377
101,393
102,419
103,214
104,265
105,421
106,408
107,295
108,316
109,352
110,330
111,291
112,205
113,295
114,326
115,335
116,248
117,389
118,342
119,311
120,291
121,291
122,310
123,306
124,386
125,325
126,505
127,367
128,499
129,385
130,277
131,322
132,339
133,410
134,327
135,289
136,480
137,388
138,341
139,394
140,315
141,318
142,441
143,459
144,395
145,428
146,362
147,373
148,435
149,465
150,232
151,404
152,332
153,402
154,345
155,328
156,324
157,303
158,372
159,334
160,317
161,309
162,304
163,319
164,191
165,276
166,374
167,300
168,360
169,250
170,337
171,280
172,324
173,297
174,346
175,388
176,311
177,423
178,190
179,372
180,356
181,300
182,255
183,393
184,340
185,345
186,371
187,326
188,263
189,303
190,341
191,291
192,168
193,388
194,344
195,313
196,394
197,361
198,379
199,301
200,404
201,313
202,333
203,309
204,397
205,297
206,424
207,420
208,317
209,399
210,615
211,410
212,330
213,360
214,358
215,331
216,271
217,309
218,367
219,287
220,349
221,302
222,267
223,341
224,387
225,334
226,380
227,304
228,345
229,256
230,259
231,332
232,287
233,367
234,344
235,412
236,356
237,415
238,356
239,389
240,325
241,345
242,334
243,321
244,392
245,263
246,273
247,355
248,355
249,279
250,316
251,379
252,341
253,335
254,401
255,372
256,452
257,453
258,361
259,277
260,459
261,311
262,350
263,424
264,325
265,277
266,353
267,354
268,411
269,385
270,353
271,345
272,351
273,538
274,342
275,382
276,425
277,311
278,354
279,266
280,314
281,324
282,479
283,376
284,250
285,396
286,342
287,373
288,327
289,184
290,382
291,309
292,408
293,293
294,352
295,406
296,383
297,320
298,283
299,336
