word_index,frequency
0,346
1,347
2,314
3,304
4,309
5,342
6,364
7,283
8,340
9,445
10,404
11,329
12,258
13,346
14,328
15,368
16,372
17,305
18,295
19,374
20,309
21,259
22,415
23,368
24,309
25,375
26,326
27,302
28,368
29,353
30,425
31,374
32,318
33,303
34,361
35,400
36,419
37,339
38,315
39,377
40,299
41,311
42,388
43,325
44,409
45,305
46,270
47,345
48,517
49,411
50,329
51,341
52,352
53,435
54,335
55,253
56,303
57,418
58,346
59,404
60,352
61,296
62,329
63,365
64,339
65,362
66,310
67,317
68,312
69,276
70,375
71,378
72,359
73,333
74,330
75,346
76,369
77,357
78,215
79,341
80,418
81,313
82,315
83,399
84,322
85,342
86,342
87,329
88,417
89,281
90,386
91,439
92,316
93,384
94,390
95,417
96,439
97,342
98,365
99,317
100,381
101,396
102,422
103,213
104,265
105,420
106,409
107,295
108,311
109,352
110,332
111,292
112,204
113,292
114,330
115,334
116,249
117,388
118,342
119,311
120,291
121,292
122,310
123,307
124,377
125,323
126,508
127,366
128,496
129,386
130,278
131,321
132,339
133,409
134,329
135,304
136,482
137,389
138,337
139,397
140,317
141,321
142,441
143,458
144,397
145,427
146,368
147,374
148,438
149,470
150,232
151,409
152,332
153,404
154,345
155,327
156,325
157,307
158,377
159,339
160,320
161,311
162,306
163,315
164,194
165,278
166,371
167,303
168,361
169,247
170,336
171,277
172,323
173,297
174,350
175,392
176,311
177,422
178,190
179,367
180,355
181,302
182,257
183,394
184,341
185,342
186,368
187,327
188,262
189,304
190,336
191,290
192,168
193,388
194,345
195,313
196,405
197,365
198,378
199,300
200,404
201,307
202,333
203,312
204,397
205,297
206,425
207,411
208,316
209,400
210,614
211,412
212,329
213,359
214,356
215,329
216,270
217,300
218,367
219,288
220,347
221,302
222,267
223,340
224,387
225,325
226,380
227,304
228,348
229,255
230,262
231,336
232,285
233,362
234,340
235,414
236,351
237,409
238,356
239,390
240,327
241,357
242,332
243,321
244,392
245,266
246,272
247,355
248,355
249,280
250,317
251,388
252,340
253,330
254,399
255,373
256,460
257,455
258,362
259,279
260,453
261,306
262,351
263,421
264,324
265,276
266,353
267,351
268,417
269,395
270,354
271,351
272,352
273,539
274,339
275,379
276,425
277,309
278,354
279,266
280,313
281,317
282,480
283,369
284,252
285,395
286,342
287,376
288,328
289,184
290,383
291,307
292,406
293,294
294,348
295,423
296,386
297,323
298,281
299,335
