word_index,frequency
0,301
1,233
2,262
3,286
4,293
5,260
6,256
7,204
8,240
9,259
10,242
11,220
12,264
13,233
14,193
15,335
16,225
17,272
18,309
19,262
20,234
21,314
22,370
23,216
24,322
25,369
26,262
27,142
28,261
29,240
30,289
31,276
32,332
33,143
34,256
35,349
36,252
37,245
38,480
39,313
40,321
41,314
42,283
43,192
44,184
45,272
46,395
47,217
48,217
49,185
50,220
51,291
52,203
53,230
54,346
55,257
56,124
57,241
58,257
59,255
60,227
61,97
62,207
63,250
64,102
65,222
66,177
67,193
68,253
69,293
70,219
71,160
72,322
73,230
74,137
75,226
76,164
77,228
78,328
79,179
80,261
81,228
82,276
83,344
84,354
85,388
86,287
87,259
88,298
89,211
90,245
91,288
92,311
93,269
94,311
95,177
96,339
97,239
98,229
99,215
100,248
101,253
102,313
103,324
104,258
105,120
106,218
107,220
108,213
109,317
110,244
111,259
112,289
113,123
114,281
115,253
116,183
117,214
118,264
119,297
120,242
121,189
122,276
123,307
124,319
125,161
126,292
127,295
128,264
129,258
130,253
131,350
132,171
133,354
134,227
135,246
136,203
137,158
138,219
139,108
140,156
141,292
142,276
143,303
144,245
145,232
146,284
147,326
148,222
149,268
150,276
151,248
152,203
153,212
154,267
155,254
156,289
157,287
158,299
159,334
160,213
161,367
162,276
163,231
164,283
165,234
166,119
167,249
168,125
169,278
170,257
171,61
172,195
173,299
174,320
175,229
176,227
177,347
178,92
179,265
180,217
181,244
182,304
183,169
184,216
185,97
186,317
187,193
188,241
189,198
190,273
191,151
192,252
193,214
194,264
195,222
196,280
197,306
198,171
199,201
200,227
201,249
202,270
203,231
204,232
205,167
206,73
207,245
208,232
209,244
210,175
211,300
212,370
213,165
214,271
215,227
216,328
217,264
218,183
219,267
220,409
221,242
222,208
223,349
224,288
225,282
226,368
227,212
228,211
229,248
230,328
231,279
232,152
233,309
234,219
235,175
236,230
237,116
238,216
239,262
240,136
241,220
242,157
243,195
244,166
245,174
246,235
247,196
248,262
249,169
250,279
251,183
252,271
253,382
254,246
255,249
256,139
257,331
258,126
259,282
260,227
261,301
262,299
263,240
264,305
265,280
266,279
267,221
268,100
269,347
270,239
271,207
272,271
273,277
274,151
275,200
276,214
277,239
278,271
279,218
280,284
281,333
282,276
283,246
284,274
285,307
286,194
287,229
288,328
289,221
290,277
291,306
292,137
293,276
294,108
295,152
296,286
297,222
298,60
299,307
